
=== Market: BTC (BTC/USDT) ===
[BTC][mixed_volatility_2019_2022][confluence/base] probability computed, charts generated.
[BTC][bull_trend_2023_2025][confluence/geometry_required] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][confluence/geometry_required] probability computed, charts generated.
[BTC][bull_trend_2023_2025][confluence/geometry_1.5x] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][confluence/geometry_1.5x] probability computed, charts generated.
[BTC][bull_trend_2023_2025][confluence/geometry_2.5x] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][confluence/geometry_2.5x] probability computed, charts generated.
[BTC][bull_trend_2023_2025][confluence/dynamic_stop] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][confluence/dynamic_stop] probability computed, charts generated.
[BTC][bull_trend_2023_2025][breakout_donchian/base] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][breakout_donchian/base] probability computed, charts generated.
[BTC][bull_trend_2023_2025][breakout_donchian/volatility_filter] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][breakout_donchian/volatility_filter] probability computed, charts generated.
[BTC][bull_trend_2023_2025][breakout_donchian/nr7_filter] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][breakout_donchian/nr7_filter] probability computed, charts generated.
[BTC][bull_trend_2023_2025][breakout_donchian/dynamic_stop] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][breakout_donchian/dynamic_stop] probability computed, charts generated.
[BTC][bull_trend_2023_2025][breakout_donchian/fade_base] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][breakout_donchian/fade_base] probability computed, charts generated.
[BTC][bull_trend_2023_2025][breakout_donchian/fade_with_nr7] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][breakout_donchian/fade_with_nr7] probability computed, charts generated.
[BTC][bull_trend_2023_2025][breakout_donchian/fade_dynamic_stop] probability computed, charts generated.
[BTC][mixed_volatility_2019_2022][breakout_donchian/fade_dynamic_stop] probability computed, charts generated.
